Y,name,district,url,photo,telephone,longitude,operationType,X,latitude,discountCategory,operationCategory,address,discountPeriod,openingHours,discountContent,discountCondition
,全家便利商店(西站分公司),中正區,,,02-2321-6231,121.521368,餐飲類,,25.032646,折價,便利超商,台北市中正區愛國東路112號,2011/05/1起,00:00-24:00,全家伯朗咖啡館 飲品折價3元,自備飲料杯
,好凍吸(信義中坡),信義區,,,02-2727-4116,121.585091,餐飲類,,25.040988,折價,飲料店,台北市信義區中坡南路96號,2011/05/1起,11:00-22:00,650ml(含)以上折價2元，以下折價1元,自備飲料杯
,50嵐(通化店),大安區,,,02-2739-9748,121.55414,餐飲類,,25.02932,折價,飲料店,台北市大安區通化街119號,2011/05/1起,11:00-22:00,大杯折價2元，中杯折價1元,自備飲料杯
,怡客咖啡(行天宮捷運店),中山區,,,02-2518-5592,121.533463,餐飲類,,25.060068,折價,飲料店,台北市中山區松江路277號,2011/05/1起,11:00-22:00,飲品折價5元，若與店內其它優惠用折價1元,自備飲料杯
,星巴克(台北momo門市),松山區,,,02-2719-2682,121.548333,餐飲類,,25.057418,折價,飲料店,台北市松山區民生東路3段156-1號(宏泰大樓),2011/05/1起,11:00-22:00,飲品折價10元,自備飲料杯
,伯朗咖啡(小巨蛋一店),松山區,,,02-2570-0123,121.550452,餐飲類,,25.048072,折價,飲料店,台北市松山區八德路3段10號1樓(台視大樓旁),2011/05/1起,11:00-22:00,飲品折價3元,自備飲料杯
,85度C(台北永吉店),信義區,,,02-2748-5225,121.575385,餐飲類,,25.045692,折價,飲料店,台北市信義區永吉路269號,2011/05/1起,11:00-22:00,飲品折價3元,自備飲料杯
,聖德科斯天然有機門市(嘉義新民門市),西區,,,05-283-0173,120.440106,餐飲類,,23.466307,折價,其他,嘉義市西區新民路615號,2012/08/01起,07:30~21:00,自備環保杯來店購買任一現打飲品或研磨現煮有機咖啡的折價2元,自備飲料杯
,7-ELEVEN(台北市第七0五分公司),信義區,,,02-2749-3325,121.576062,餐飲類,,25.040966,折價,便利超商,台北市信義區忠孝東路5段451號1樓,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,聖德科斯天然有機門市(天母門市),士林區,,,02-2873-1023,121.526624,餐飲類,,25.118349,折價,其他,臺北市士林區天母西路28號,2012/08/01起,07:30~21:00,自備環保杯來店購買任一現打飲品或研磨現煮有機咖啡的折價2元,自備飲料杯
,7-ELEVEN(台北市第六七三分公司),中山區,,,02-2517-9248,121.533228,餐飲類,,25.05115,折價,便利超商,台北市中山區松江路101號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,水巷茶弄(台北錦州二店),中山區,,,02-2523-7575,121.52426,餐飲類,,25.060226,折價,飲料店,台北市中山區錦州街24號,2011/05/1起,11:00-22:00,飲品折價2元,自備飲料杯
,巧沛國際(農安店),中山區,,,02-25006397,121.533948,餐飲類,,25.06445,折價,早餐店,台北市中山區農安街166巷3號,2011/09/01起,07:00-11:00,折價1元,自備飲料杯
,7-ELEVEN(台北市一0四分公司),文山區,,,,121.566656,餐飲類,,24.983175,折價,便利超商,台北市文山區木新路2段255號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,全家便利商店(萬安分公司),文山區,,,02-2239-1777,121.570638,餐飲類,,25.001253,折價,便利超商,台北市文山區萬安街17號1樓,2011/05/1起,00:00-24:00,全家伯朗咖啡館 飲品折價3元,自備飲料杯
,7-ELEVEN(台北市第三0八分公司),北投區,,,02-2826-1043,121.512955,餐飲類,,25.117452,折價,便利超商,台北市北投區致遠二路149號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,7-ELEVEN(台北市第四七九分公司),大安區,,,02-2707-0732,121.543897,餐飲類,,25.032399,折價,便利超商,台北市大安區復興南路2段17號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,OK超商(第292分公司),文山區,,,02-6617-2231,121.538818,餐飲類,,25.001842,折價,便利超商,台北市文山區羅斯福路5段220號,2011/05/1起,00:00-24:00,OK Caf 飲品折價3元,自備飲料杯
,肯德基(同領門市部),大安區,,,02-2325-0938,121.557336,餐飲類,,25.037426,集點,速食店,台北市大安區仁愛路4段418號、418號地下,2011/05/1起,11:00-22:00,每杯1點，集5點可兌換32元以內杯裝飲料(不含湯品、100%柳橙汁、瓶裝、罐裝等飲料或包裝水),自備飲料杯
,萊爾富(北市杭州分公司),大安區,,,02-2357-9306,121.524006,餐飲類,,25.034556,折價,便利超商,台北市大安區杭州南路2段5號1樓,2011/05/1起,00:00-24:00,Hi Caf 飲品折價3元,自備飲料杯
,古早味A肥茶(北市安通店),中山區,,,02-2550-4322,121.526484,餐飲類,,25.049345,折價,飲料店,台北市中山區長安東路1段53巷14號,2011/05/1起,11:00-22:00,500ml折價1元，700ml折價2元，960ml折價3元,自備飲料杯
,橘子工坊(芝山店),士林區,,,02-2836-0550,121.522531,餐飲類,,25.104872,集點,飲料店,台北市士林區德行西路76號,2011/05/1起,11:00-22:00,每杯1點，集10點可兌換30元飲品，或補差額換購30元以上飲料,自備飲料杯
,7-ELEVEN(台北市第一五0分公司),中正區,,,02-2364-6532,121.52366,餐飲類,,25.022402,折價,便利超商,台北市中正區汀洲路2段210號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,7-ELEVEN(台北市第六八九分公司),中山區,,, 02-2777-4809,121.54066,餐飲類,,25.048233,折價,便利超商,台北市中山區長安東路2段178及178號之1一樓,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,壹咖啡(石牌致遠),北投區,,,02-2823-1514,121.514993,餐飲類,,25.110353,折價,飲料店,台北市北投區致遠一路1段126號,2011/05/1起,11:00-22:00,飲品折價2元，可與其他優惠並行但不折抵現金,自備飲料杯
,7-ELEVEN(台北市第二七八分公司),中山區,,,02-2511-9429,121.523298,餐飲類,,25.050779,折價,便利超商,台北市中山區中山北路1段105巷13號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,漢堡王(國醫店),內湖區,,,02-8791-8136,121.590019,餐飲類,,25.071538,集點,速食店,台北市內湖區成功路2段325號B1,2011/05/1起,11:00-22:00,每杯1點，集10點可兌換30元飲料1杯,自備飲料杯
,拉亞漢堡(北市行天宮店),中山區,,,02-25855518,121.531804,餐飲類,,25.063314,折價,早餐店,台北市中山區民權東路2段71巷13號,2011/09/01起,07:00-11:00,折價1元,自備飲料杯
,7-ELEVEN(台北市第六九一分公司),大同區,,,02-2599-5942,121.516291,餐飲類,,25.063165,折價,便利超商,台北市大同區民權西路157-1號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,Naissance  Coffee(金研門市),中正區,,,02-3365-3599,121.525855,餐飲類,,25.022382,折價,飲料店,台北市中正區羅斯福路3段62號1樓,2011/05/1起,11:00-22:00,飲品折價1元,自備飲料杯
,COME  BUY(通化),大安區,,,02-2732-1360,121.554162,餐飲類,,25.029603,集點,飲料店,台北市大安區通化街103號,2011/05/1起,11:00-22:00,每杯1點，集10點可兌換30元飲品1杯,自備飲料杯
,怡客咖啡(瑞光分公司),內湖區,,,02-2659-8642,121.577099,餐飲類,,25.074723,折價,飲料店,台北市內湖區瑞光路192號,2011/05/1起,11:00-22:00,飲品折價5元，若與店內其它優惠用折價1元,自備飲料杯
,全家便利商店(和東分公司),大安區,,,02-2392-4175,121.521944,餐飲類,,25.028111,折價,便利超商,台北市大安區羅斯福路2段17號,2011/05/1起,00:00-24:00,全家伯朗咖啡館 飲品折價3元,自備飲料杯
,7-ELEVEN(台北市第一九四分公司),北投區,,,02-2858-1719,121.46747,餐飲類,,25.121743,折價,便利超商,台北市北投區知行路282號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,肯德基(台北士林分公司),士林區,,,02-2881-1323,121.525979,餐飲類,,25.087348,集點,速食店,台北市士林區文林路88號,2011/05/1起,11:00-22:00,每杯1點，集5點可兌換32元以內杯裝飲料(不含湯品、100%柳橙汁、瓶裝、罐裝等飲料或包裝水),自備飲料杯
,怡客咖啡(南港店),南港區,,,02-2655-2782,121.613524,餐飲類,,25.058136,折價,飲料店,台北市南港區三重路19-10號1樓,2011/05/1起,11:00-22:00,飲品折價5元，若與店內其它優惠用折價1元,自備飲料杯
,拿坡里披薩(興隆分公司),文山區,,,02-2930-2400,121.555425,餐飲類,,25.00071,折價,速食店,台北市文山區興德路6巷2號1樓,2011/05/1起,11:00-22:00,飲品折價3元,自備飲料杯
,聖德科斯天然有機門市(高雄鄭和門市),前鎮區,,,07-536-8555,120.315712,餐飲類,,22.605641,折價,其他,高雄市前鎮區鄭和南路311號,2012/08/01起,07:30~21:00,自備環保杯來店購買任一現打飲品或研磨現煮有機咖啡的折價2元,自備飲料杯
,50嵐(世貿店),信義區,,,02-2732-1350,121.557565,餐飲類,,25.029267,折價,飲料店,台北市信義區基隆路2段107之3號,2011/05/1起,11:00-22:00,大杯折價2元，中杯折價1元,自備飲料杯
,橘子(石牌店),北投區,,,02-2827-5515,121.51667,餐飲類,,25.116594,集點,飲料店,台北市北投區裕民一路20號,2011/05/1起,11:00-22:00,每杯1點，集5點可兌換15元飲品，或加價換購其他飲品(果汁除外),自備飲料杯
,清心福全(台北中山錦州店),中山區,,,02-2509-3117,121.541384,餐飲類,,25.060358,折價,飲料店,台北市中山區錦州街395號,2011/05/1起,11:00-22:00,650ml(含)以上折價2元，以下折價1元,自備飲料杯
,摩斯漢堡(光復分公司),大安區,,,02-2701-3321,121.557314,餐飲類,,25.034597,集點,速食店,台北市大安區光復南路552號,2011/05/1起,11:00-22:00,每杯1點，集5點可兌換30元商品，集10點可兌換60元商品(前述不含罐裝、瓶裝非現場填裝)飲料,自備飲料杯
,50嵐(石牌店),北投區,,,02-2821-1346,121.516998,餐飲類,,25.116778,折價,飲料店,台北市北投區裕民一路23號,2011/05/1起,11:00-22:00,大杯折價2元，中杯折價1元,自備飲料杯
,麥當勞(台北考試院分公司),文山區,,,"02-2236-2598
02-2236-2617",121.550204,餐飲類,,24.987595,集點,速食店,台北市文山區木柵路1段137號,2011/05/1起,11:00-22:00,每杯1點，集5點可兌換30元飲料1杯(奶昔、漂浮飲品及免費飲料不在集點範圍內),自備飲料杯
,聖德科斯天然有機門市(和平安居門市),大安區,,,02-2377-5286,121.555032,餐飲類,,25.021767,折價,其他,臺北市大安區和平東路三段246號,2012/08/01起,07:30~21:00,自備環保杯來店購買任一現打飲品或研磨現煮有機咖啡的折價2元,自備飲料杯
,拉亞漢堡(內湖麗嬰房店),內湖區,,,02-26594241,121.577045,餐飲類,,25.071622,折價,早餐店,台北市內湖區陽光街321巷60號,2011/09/01起,07:00-11:00,折價1元,自備飲料杯
,拉亞漢堡(北市敦北店),松山區,,,02-87123335,121.548138,餐飲類,,25.05368,折價,早餐店,台北市松山區敦化北路120巷7弄13號,2011/09/01起,07:00-11:00,折價1元,自備飲料杯
,喫茶趣(大直店),中山區,,,02-8502-0608,121.556144,餐飲類,,25.080411,折價,飲料店,台北市中山區敬業三路123號1樓(大直愛買),2011/05/1起,11:00-22:00,500ml折價2元,自備飲料杯
,7-ELEVEN(台北市第二五三分公司),大安區,,,02-2778-7784,121.552028,餐飲類,,25.042161,折價,便利超商,台北市大安區忠孝東路4段205巷7弄1號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,7-ELEVEN(台北市第一七一分公司),士林區,,,02-2832-9371,121.53134,餐飲類,,25.105828,折價,便利超商,台北市士林區忠義街68號,2011/05/1起,00:00-24:00,City caf / 思樂冰 650ml以上折價2元，以下折價1元,自備飲料杯
,全家便利商店(保生分公司),大同區,,,02-2557-8978,121.513826,餐飲類,,25.062743,折價,便利超商,台北市大同區重慶北路2段263號1樓,2011/05/1起,00:00-24:00,全家伯朗咖啡館 飲品折價3元,自備飲料杯
